Code,type,Profession
1719,FR,autres avocats et jurisconsultes ou conseillers juridiques n.c.a
1719,AR,محامون، فقهاء مشرعون او مستشارون قضاييون اخرون لم يصنفوا اعلاه
1721,FR,procureurs
1721,AR,وكلاء الدولة
1721,AR,وكالء الدولة
1722,AR,قضاة المجلس االعلي ومحاكم االستينا ف
1722,FR,juges de la cour suprême et des cours d'appel
1722,AR,قضاة المجلس الاعلي ومحاكم الاستيناف
1723,FR,juges des tribunaux de première instance
1723,AR,قضاة المحاكم االبتدايية
1723,AR,قضاة المحاكم الابتدايية
1724,FR,juges des tribunaux administratifs
1724,AR,قضاة المحاكم االدارية
1724,AR,قضاة المحاكم الادارية
1729,FR,autres procureurs et juges n.c.a
1729,AR,وكالء الدولة وقضاة اخرون لم يصنفوا اعاله
1729,FR,autres procureurs et juges n.c.a.
1729,AR,وكلاء الدولة وقضاة اخرون لم يصنفوا اعلاه
1731,AR,كتاب شرعيون او موثقو العقود، وكلاء الدعاوي، مستشارون في المعاملات الضريبية
1731,FR,"notaires, avoués et conseillers fiscaux"
1731,AR,كتاب شرعيون او موثقو العقود، وكالء الدعاوي، مستشارون في المعامالت الضريبية
1732,AR,العدول (مستوي اطار)
1732,FR,adouls (niveau cadre)
1732,AR,العدول(مستوي اطار)
1739,AR,مهن قضايية اخري (مستوي اطار) لم تصنف اعلاه
1739,FR,autres professions juridiques (niveau cadre) n.c.a.
1739,AR,مهن قضايية اخري(مستوي اطار )لم تصنف اعاله
1739,FR,autres professions juridiques (niveau cadre) n.c.a
1810,AR,علماء الدين االسالمي ومن يشابهونهم(مستوي اطار)
1810,AR,علماء الدين الاسلامي ومن يشابهونهم (مستوي اطار)
1810,FR,"théologiens, oulémas et assimilés (niveau cadre)"
1810,FR,"théologiens, oulemas et assimilés (niveau cadre)"
1820,AR,رجال الديانات المسيحية واليهودية(مستوي اطار)
1820,FR,membres des cultes chrétien et juif (niveau cadre)
1820,AR,رجال الديانات المسيحية واليهودية (مستوي اطار)
1911,AR,الاطر المحاسبون
1911,AR,االطر المحاسبون
1911,FR,cadres comptables
1912,FR,conseillers en finances et investissements
1912,AR,مستشارون في المالية و االستثمار
1912,AR,مستشارون في المالية والاستثمار
1913,FR,analystes financiers
1913,AR,محللون ماليون
1919,FR,autres spécialistes financiers n.c.a
1919,AR,اختصاصيون ماليون اخرون لم يصنفوا اعاله
1919,AR,اختصاصيون ماليون اخرون لم يصنفوا اعلاه
1919,FR,autres spécialistes financiers n.c.a.
1921,AR,محللون، اطر مختصة في التسيير والتنظيم الاداري
1921,AR,محللون، اطر مختصة في التسيير و التنظيم االداري
1921,FR,analystes en gestion et en organisation administrative
1922,FR,spécialistes en administration et politiques
1922,AR,االختصاصيون في االدارة و السياسات
1922,AR,الاختصاصيون في الادارة والسياسات
1923,AR,اختصاصيو الموارد البشرية و التطور المهني
1923,AR,اختصاصيو الموارد البشرية والتطور المهني
1923,FR,"spécialistes, ressources humaines et évolution de carrière"
1923,FR,spécialistes en ressources humaines et en évolution de carrière
1929,FR,autres spécialistes des fonctions administratives n.c.a.
1929,AR,اختصاصيون في الشوون االدارية اخرون لم يصنفوا اعاله
1929,FR,autres spécialistes des fonctions administratives n.c.a
1929,AR,اختصاصيون في الشوون الادارية اخرون لم يصنفوا اعلاه
1931,FR,spécialistes de la publicité et de la commercialisation
1931,AR,اختصاصيو االعالن و التسويق
1931,AR,اختصاصيو الاعلان والتسويق
1932,FR,spécialistes des relations publiques
1932,AR,اختصاصيو العلاقات العامة
1932,AR,اختصاصيو العالقات العامة
1933,FR,"spécialistes des ventes, secteurs médical et technique (à l'exception des tic)"
1933,AR,اختصاصيو المبيعات، القطاعات الطبية والتقنية (ماعدا تكنولوجيا المعلومات والاتصال)
1933,AR,اختصاصيو المبيعات، القطاعات الطبية و التقنية(ماعدا تكنولوجيا المعلومات و االتصال)
1934,AR,اختصاصيو المبيعات في تكنولوجيا المعلومات و االتصال
1934,FR,"spécialistes des ventes, technologies de l'information et des communications"
1934,AR,اختصاصيو المبيعات في تكنولوجيا المعلومات والاتصال
1935,AR,اختصاصيو اللوجيستيك
1935,FR,spécialistes en logistique
1939,AR,اختصاصيون في البيع التسويق والترويج والعالقات العامة اخرون لم يصنفوا اعاله
1939,FR,spécialistes en logistique
1939,AR,اختصاصيون في البيع التسويق والترويج والعلاقات العامة اخرون لم يصنفوا اعلاه
1939,FR,"autres spécialistes des ventes, de la commercialisation, du marketing et des relations publiques n.c.a."
1941,FR,cadres administratifs supérieurs de la fonction publique et des collectivités locales
1941,AR,اطر ادارية عليا باالدارة العمومية والجماعات المحلية
1941,AR,اطر ادارية عليا بالادارة العمومية والجماعات المحلية
1942,FR,cadres administratifs supérieurs des entreprises
1942,AR,اطر ادارية عليا بالمقاولات
1942,AR,اطر ادارية عليا بالمقاوالت
1943,FR,cadres administratifs sans autre indication
1943,AR,اطر ادارية عليا دون توضيح اخر
1949,FR,autres cadres administratifs sans responsabilité hiérarchique n.c.a.
1949,FR,autres cadres administratifs sans responsabilité hiérarchique n.c.a
1949,AR,اطر ادارية اخري بدون مسوولية تسلسلية لم تصنف اعاله
1949,AR,اطر ادارية اخري بدون مسوولية تسلسلية لم تصنف اعلاه
2111,AR,تقنيون في الهندسة المدنية والهندسة القروية والتعمير وتنظيم المدن(تقنيون مدنيون ) وتقنيو المحافظة العقارية ومراقبون مساعدون في القانون العقاري ومن يشابهونهم
2111,FR,"techniciens en génie civil, en architecture et urbanisme, géomètres, techniciens de la conservation foncière, contrôleurs adjoints en législation foncière et techniciens assimilés"
2111,AR,تقنيون في الهندسة المدنية والهندسة القروية والتعمير وتنظيم المدن (تقنيون مدنيون) وتقنيو المحافظة العقارية ومراقبون مساعدون في القانون العقاري ومن يشابهونهم
2112,FR,techniciens en génie électrique
2112,AR,تقنيون في الهندسة الكهربايية
2113,FR,techniciens en génie électronique
2113,AR,تقنيون في الهندسة الالكترونية
2113,AR,تقنيون في الهندسة االلكترونية
2114,FR,"techniciens mécaniciens des constructions navales, automobiles, aéronautiques et autres techniciens en industrie mécanique"
2114,AR,تقنيون ميكانيكيون في بناء السفن، وتركيب السيارات والطايرات وتقنيون اخرون في الصناعة والهندسة الميكانيكية
2115,FR,"techniciens en chimie industrielle, traitement du phosphate, des matières plastiques, des matières colorantes et assimilés"
2115,AR,تقنيون في الكيمياء الصناعية ومعالجة الفوسفات والمواد البالستيكية والمواد الملونة وما شابهها
2115,AR,تقنيون في الكيمياء الصناعية ومعالجة الفوسفات والمواد البلاستيكية والمواد الملونة وما شابهها
2116,AR,تقنيون في صناعة استخراج المعادن وتنقيتها والصناعة الحديدية ومعالجة المواد المعدنية وصهر المعادن ومن يشابهونهم
2116,FR,"techniciens en géologie, en mines, techniciens métallurgistes et assimilés"
2117,AR,رسامون صناعيون
2117,FR,dessinateurs industriels
2119,FR,techniciens des sciences physiques et techniques n.c.a.
2119,FR,techniciens des sciences physiques et techniques n.c.a
2119,AR,تقنيون في العلوم الفيزيايية والتقنية غير مصنفين اعلاه
2119,AR,تقنيون في العلوم الفيزيايية والتقنية غير مصنفين اعاله
2121,AR,مشرفون في التعدين والمناجم
2121,FR,superviseurs en mines
2122,FR,superviseurs en industries manufacturières
2122,AR,مشرفون بالصناعات التحويلية
2123,AR,مشرفون بالبناء والاشغال العمومية
2123,FR,superviseurs en btp
2123,AR,مشرفون بالبناء و االشغال العمومية
2129,AR,مشرفون اخرون بالمناجم و الصناعات التحويلية و البناء و االشغال العمومية لم يصنفوا اعاله
2129,FR,"autres superviseurs, mines, industries manufacturières et btp n.c.a."
2129,FR,"autres superviseurs, mines, industries manufacturières et btp n.c.a"
2129,AR,مشرفون اخرون بالمناجم والصناعات التحويلية والبناء والاشغال العمومية لم يصنفوا اعلاه
2131,FR,techniciens et conducteurs d'installations de production d'énergie
2131,AR,تقنيو ومسيرو تجهيزات انتاج الطاقة
2132,FR,conducteurs d'incinérateurs et d'installations de traitement de l'eau
2132,AR,مسيرو تجهيزات محارق النفايات محطات معالجة المياه
2133,FR,conducteurs d'installations de traitement chimique
2133,AR,مسيرو تجهيزات معالجة المواد الكيمايية
2134,FR,conducteurs d'installations de raffinage de pétrole et de gaz naturel
2134,AR,مسيرو تجهيزات تكرير النفط والغاز الطبيعي
2134,AR,مسيرو تجهيزات تكرير النفط و الغاز الطبيعي
2135,AR,مراقبو العمليات الصناعية في التعدين
2135,FR,"contrôleurs des processus industriels, métallurgie"
2136,AR,تقنيون في النسيج، وصناعة الاحذية والجلد ومن يشابهونهم
2136,AR,تقنيون في النسيج، وصناعة االحذية والجلد ومن يشابهونهم
2136,FR,"techniciens de textile, de la confection de la chaussure et cuir et assimilés"
2137,AR,تقنيون في الصناعات الفلاحية والصناعات الغذايية الاخري
2137,AR,تقنيون في الصناعات الفالحية والصناعات الغذايية االخري
2137,FR,techniciens en agro-industrie et autres industries alimentaires
2138,AR,تقنيون في الخزف وصناعة الزجاج ومن يشابهونهم
2138,FR,"techniciens en céramique, en verrerie et assimilés"
2139,FR,techniciens en contrôle de processus industriels n.c.a
2139,AR,تقنيو مراقبة العمليات الصناعية غير مصنفين اعاله
2139,AR,تقنيو مراقبة العمليات الصناعية غير مصنفين اعلاه
2139,FR,techniciens en contrôle de processus industriels n.c.a.
2141,AR,تقنيو الطاقم القيادي للبواخر وسفن الصيد البحري ومن يشابهونهم
2141,FR,"techniciens de pont et de la pêche maritime : chef de quart en pêche, second patron de pont, patron de pêche au large et assimilés"
2141,FR,"techniciens de pont et de la pêche maritime (chef de quart en pêche, second patron de pont, patron de pêche au large et assimilés)"
2142,AR,تقنيون ميكانيكيون ضمن طاقم السفينة مختصون في الصيانة والاصلاح
2142,FR,"techniciens de la mécanique navale (chef de quart en mécanique navale, second mécanicien de navire, chef mécanicien de 2ème classe et assimilés)"
2142,AR,تقنيون ميكانيكيون ضمن طاقم السفينة مختصون في الصيانة واالصالح
2142,FR,"techniciens de la mécanique navale : chef de quart en mécanique navale, second mécanicien de navire, chef mécanicien de 2ème classe et assimilés"
2143,AR,الربابنة المختصون للطايرات والطايرات المروحية، مدربو الطيران المحترفون ومن يشابهونهم
2143,FR,"pilotes professionnels d'avions, d'hélicoptères, instructeurs de vol professionnels et assimilés"
2144,FR,contrôleurs de la circulation aérienne
2144,AR,مراقبو المالحة الجوية
2144,AR,مراقبو الملاحة الجوية
2145,FR,techniciens de la sécurité et de la mécanique aérienne
2145,AR,تقنيون مختصون في االمن الجوي و تقنيون ميكانيكيون في الطيران ومن يشابهونهم
2145,AR,تقنيون مختصون في الامن الجوي وتقنيون ميكانيكيون في الطيران ومن يشابهونهم
2149,AR,تقنيون ومراقبون في النقل البحري والجوي اخرون لم يصنفوا اعلاه
2149,FR,autres contrôleurs et techniciens des moyens de transport maritime et aérien n.c.a.
2149,AR,تقنيون و مراقبون في النقل البحري و الجوي اخرون لم يصنفوا اعاله
2149,FR,autres contrôleurs et techniciens des moyens de transport maritime et aérien n.c.a
2151,FR,techniciens en météorologie et assimilés
2151,AR,تقنيو الارصاد الجوية ومن يشابهونهم
2151,AR,تقنيو االرصاد الجوية ومن يشابهو نهم
2152,FR,"contrôleurs des normes de sécurité d'hygiène, contrôleurs de qualité et assimilés"
2152,AR,مراقبو المعايير االمنية والوقايية والجودة ومن يشابهونهم
2152,AR,مراقبو المعايير الامنية والوقايية والجودة ومن يشابهونهم
2153,FR,techniciens en mécanique (réparation et entretien seulement)
2153,AR,تقنيون ميكانيكيون(االصالح والصيانة فقط)
2153,AR,تقنيون ميكانيكيون (الاصلاح والصيانة فقط)
2159,AR,تقنيون ومهن وسيطة في العلوم الفيزيايية والتقنية غير مصنفة اعلاه
2159,FR,autres techniciens et professions intermédiaires des sciences physiques et techniques n.c.a.
2211,AR,تقنيون مختصون في الخضروات
2211,FR,techniciens en maraîchage
2212,FR,techniciens des grandes cultures
2212,AR,تقنيون مختصون في الزراعات الكبري
2213,FR,techniciens en arboriculture et en horticulture et assimilés
2213,AR,تقنيون مختصون في الاشجار والبستنة ومن يشابهونهم
2213,AR,تقنيون مختصون في االشجار والبستنة ومن يشابهونهم
2219,FR,autres techniciens agronomes spécialisés dans les cultures n.c.a.
2219,FR,autres techniciens agronomes spécialisés dans les cultures n.c.a
2219,AR,تقنيون فالحيون مختصون في الزراعة اخرون لم يصنفوا اعاله
2219,AR,تقنيون فلاحيون مختصون في الزراعة اخرون لم يصنفوا اعلاه
2220,FR,techniciens de la production animale
2220,AR,تقنيو الانتاج الحيواني
2220,AR,تقنيو االنتاج الحيواني
2230,FR,techniciens spécialisés dans les techniques agricoles et conseillers agricoles
2230,AR,تقنيون مختصون في تقنيات الفلاحة ومرشدون فلاحيون
2230,AR,تقنيون مختصون في تقنيات الفالحة ومرشدون فالحيون
2240,FR,techniciens des eaux et forêts
2240,AR,تقنيو المياه والغابات
2251,FR,techniciens de la recherche agricole
2251,AR,تقنيو البحث الزراعي
2252,AR,تقنيو البحث في المياه والغابات
2252,FR,techniciens de la recherche des eaux et forêts
2253,AR,تقنيو البحث في االنتاج الحيواني
2253,FR,techniciens de la recherche en production animale
2253,AR,تقنيو البحث في الانتاج الحيواني
2259,FR,autres techniciens de la recherche dans les sciences de la vie (à l'exception de la médecine) n.c.a.
2259,AR,تقنيو البحث في العلوم الحياتية (باستثناء الطب) اخرون لم يصنفوا اعلاه
2259,AR,تقنيو البحث في العلوم الحياتية(باستثناء الطب )اخرون لم يصنفوا اعاله
2259,FR,autres techniciens de la recherche dans les sciences de la vie (à l'exception de la médecine) n.c.a
2290,FR,autres techniciens des sciences de la vie (à l'exception de la médecine) n.c.a.
2290,AR,تقنيو العلوم الحياتية (باستثناء الطب) اخرون لم يصنفوا اعلاه
2290,AR,تقنيو العلوم الحياتية(باستثناء الطب )اخرون لم يصنفوا اعاله
2290,FR,autres techniciens des sciences de la vie (à l'exception de la médecine) n.c.a
2311,AR,مساعدون طبيون
2311,FR,assistants médicaux
2312,FR,conseillers en hygiène
2312,AR,مرشدون في الوقاية
2313,AR,اطر متوسطة مختصة في مشاكل التغذية
2313,FR,cadres moyens spécialisés dans les problèmes de nutrition
2314,AR,مساعدو اطباء الاسنان، تقنيو صناعة الاسنان والاطراف الاصطناعية وصانعو الاسنان
2314,FR,"assistants dentaires, techniciens de la prothèse médicale et dentaire et mécaniciens dentistes"
2314,AR,مساعدو اطباء االسنان، تقنيو صناعة االسنان و االطراف االصطناعية وصانعو االسنان
2315,AR,دلاكون طبيون والتقنيون الذين يشابهونهم
2315,FR,kinésithérapeutes et techniciens assimilés
2315,AR,دالكون طبيون والتقنيون الذين يشابهونهم
2316,FR,techniciens et assistants vétérinaires
2316,AR,تقنيون و مساعدون في الطب البيطري
2316,AR,تقنيون ومساعدون في الطب البيطري
2317,FR,techniciens et assistants pharmaciens et préparateurs en pharmacie
2317,AR,تقنيون مساعدون ومهييون في الصيدلة
2318,FR,opticiens et techniciens assimilés
2318,AR,النظاراتيون والتقنيون الذين يشابهونهم
2319,AR,مهن وسيطة اخري في الصحة (ما عدا الممرضين) لم تصنف اعلاه
2319,FR,autres professions intermédiaires de la santé (excepté les infirmiers) n.c.a.
2319,AR,مهن وسيطة اخري في الصحة(ما عدا الممرضين )لم تصنف اعاله
2319,FR,autres professions intermédiaires de la santé (excepté les infirmiers) n.c.a
2321,FR,infirmiers diplômés d'état (niveau cadre moyen)
2321,AR,ممرضو الدولة( مستوي اطار متوسط)
2321,FR,infirmiers diplômés d'etat (niveau cadre moyen)
2321,AR,ممرضو الدولة (مستوي اطار متوسط)
2322,FR,infirmiers brevetés (niveau cadre moyen)
2322,AR,ممرضون (مستوي اطار متوسط)
2322,AR,ممرضون( مستوي اطار متوسط)
2323,AR,مولدات حاملات لشهادات (مستوي اطار متوسط)
2323,FR,sages femmes diplômées (niveau cadre moyen)
2323,AR,مولدات حامالت لشهادات( مستوي اطار متوسط)
2329,AR,ممرضون ومولدات اخرون لم يصنفوا اعاله ( مستوي اطار متوسط)
2329,FR,autres infirmiers et sages femmes (niveau cadre moyen) n.c.a
2329,FR,autres infirmiers et sages femmes (niveau cadre moyen) n.c.a.
2329,AR,ممرضون ومولدات اخرون لم يصنفوا اعلاه (مستوي اطار متوسط)
2331,FR,techniciens de laboratoires d'analyses
2331,AR,تقنيون في مختبرات التحليلات
2331,AR,تقنيون في مختبرات التحليالت
2332,FR,techniciens de radiologie et d'appareils électromédicaux
2332,AR,تقنيو الراديو الطبي والالات الاليكتروطبية
2332,AR,تقنيو الراديو الطبي و االالت اال ليكتروطبية
2332,FR,techniciens de radiologie et d'appareils électro-médicaux
2333,AR,تقنيون في الترويض الطبي
2333,FR,techniciens de rééducation
2339,FR,autres techniciens paramédicaux n.c.a
2339,AR,تقنيون شبه طبيون اخرون ومن يشابهونهم لم يصنفوا اعاله
2339,AR,تقنيون شبه طبيون اخرون ومن يشابهونهم لم يصنفوا اعلاه
2339,FR,autres techniciens paramédicaux n.c.a.
2340,FR,techniciens de la recherche médicale et assimilés
2340,AR,تقنيو البحث الطبي ومن يشابهونهم
2350,FR,praticiens des médecines traditionnelles et des médecines complémentaires (niveau cadre moyen)
2350,AR,محترفو الطب التقليدي و الطب التكميلي(اطار متوسط)
2350,AR,محترفو الطب التقليدي والطب التكميلي (اطار متوسط)
2411,AR,معلمو التعليم التمهيدي
2411,FR,instituteurs de l’enseignement préscolaire
2411,FR,instituteurs de l'enseignement préscolaire
2412,AR,معلمو دور تحفيظ القران والتجويد والكتاتيب القرانية
2412,FR,instituteurs des écoles coraniques
2419,AR,معلمو التعليم الاولي والكتاتيب القرانية ودور تحفيظ القران والتجويد اخرون غير مصنفين اعلاه
2419,FR,autres instituteurs de l'enseignement préscolaire et des écoles coraniques n.c.a.
2421,AR,معلمو الرسم والموسيقي
2421,FR,instituteurs en dessin et musique
2421,FR,instituteurs de dessin et de musique
2422,FR,instituteurs de soutien en langues et informatique
2422,AR,معلمو الدعم في اللغات واالعالميات
2422,AR,معلمو الدعم في اللغات والاعلاميات
2423,FR,instituteurs de cours de soutien
2423,AR,معلمو دروس الدعم
2429,AR,معلمو التكوين والدعم اخرون غير مصنفين اعلاه
2429,FR,autres instituteurs de formation et de soutien n.c.a.
2511,AR,تقنيون في عمليات تكنولوجيا المعلومات و االتصال
2511,FR,"techniciens des technologies de l'information et des communications, opérations"
2511,AR,تقنيون في عمليات تكنولوجيا المعلومات والاتصال
2512,FR,"techniciens des technologies de l'information et des communications, soutien aux utilisateurs"
2512,AR,تقنيون في خدمة مستعملي تكنولوجيا المعلومات و االتصال
2512,AR,تقنيون في خدمة مستعملي تكنولوجيا المعلومات والاتصال
2513,FR,"techniciens, réseaux et systèmes d'ordinateurs"
2513,AR,تقنيو الشبكات و نظم الحواسب
2513,AR,تقنيو الشبكات ونظم الحواسب
2514,FR,techniciens de l'internet
2514,AR,تقنيو الشبكة العنكبوتية
2515,AR,تقنيو البرمجة
2515,FR,techniciens en programmation
2519,AR,تقنيون في عمليات و خدمة مستعملي تكنولوجيا المعلومات و االتصال اخرون لم يصنفوا اعاله
2519,AR,تقنيون في عمليات وخدمة مستعملي تكنولوجيا المعلومات والاتصال اخرون لم يصنفوا اعلاه
2519,FR,"autres techniciens, opérations et soutien aux utilisateurs des technologies de l'information et des communications n.c.a"
2519,FR,"autres techniciens, opérations et soutien aux utilisateurs des technologies de l'information et des communications n.c.a."
2521,AR,تقنيو االذاعة و التلفزة و التسجيل السمعي البصري
2521,FR,techniciens de radio-télévision et d'enregistrement audio-visuel
2521,FR,techniciens de radiotélévision et d'enregistrement audio-visuel
2521,AR,تقنيو الاذاعة والتلفزة والتسجيل السمعي البصري
2522,FR,techniciens de télécommunications
2522,AR,تقنيو الاتصالات
2522,AR,تقنيو االتصاالت
2529,AR,تقنيون في االتصاالت و البث االذاعي اخرون لم يصنفوا اعاله
2529,FR,autres techniciens des télécommunications et de la radio diffusion n.c.a
2529,FR,autres techniciens des télécommunications et de la radio diffusion n.c.a.
2529,AR,تقنيون في الاتصالات والبث الاذاعي اخرون لم يصنفوا اعلاه
2590,AR,تقنيو تكنولوجيا المعلومات والاتصال غير مصنفين اعلاه
2590,FR,autres techniciens des technologies de l'information et des communications n.c.a.
2611,AR,اطر ادارية متوسطة باالدارة العمومية والجماعات المحلية
2611,FR,cadres administratifs moyens de la fonction publique et des collectivités locales
2611,AR,اطر ادارية متوسطة بالادارة العمومية والجماعات المحلية
2612,FR,cadres administratifs moyens des entreprises publiques et semi-publiques
2612,AR,اطر ادارية متوسطة بالمقاولات العمومية وشبه العمومية
2612,AR,اطر ادارية متوسطة بالمقاوالت العمومية شو به العمومية
2612,FR,cadres administratifs moyens des entreprises publiques et semi- publiques
2613,FR,cadres administratifs moyens sans autres indications
2613,AR,اطر ادارية متوسطة دون توضيح اخر
2621,AR,روساء المبيعات والمشتريات ووسطاء في البضايع
2621,FR,"chefs de vente, acheteurs et courtiers en marchandises"
2622,FR,"agents commerciaux, techniciens et voyageurs de commerce"
2622,AR,اعوان تجاريون، تقنيون في التجارة ومكلفون باالسفار التجارية
2622,AR,اعوان تجاريون، تقنيون في التجارة ومكلفون بالاسفار التجارية
2629,AR,مهن وسيطة اخري في التجارة لم تصنف اعلاه
2629,FR,autres professions intermédiaires de commerce n.c.a.
2629,AR,مهن وسيطة اخري في التجارة لم تصنف اعاله
2629,FR,autres professions intermédiaires de commerce n.c.a
2631,AR,تقنيون محاسبون واطر متوسطة مشابهة
2631,FR,techniciens en comptabilité et cadres moyens assimilés
2632,FR,"cadres moyens de banques, des assurances, de la poste et assimilés"
2632,AR,اطر متوسطة في االبناك ، في التامينات، في البريد و اطر مشابهة
2632,AR,اطر متوسطة في الابناك، في التامينات، في البريد واطر مشابهة
2633,FR,economes et cadres moyens des services de paie et assimilés
2633,AR,مقتصدون اطر و متوسطة في مصالح دفع االجور و اطر مشابهة
2633,AR,مقتصدون واطر متوسطة في مصالح دفع الاجورو اطر مشابهة
2633,FR,"économes, cadres moyens des services de paie et assimilés"
2634,FR,techniciens spécialisés dans la gestion et cadres moyens assimilés
2634,AR,تقنيون مختصون في التسيير واطر مشابهة
2635,AR,تقنيون في الاحصاء والحسابية والرياضيات ومن يشابهونهم
2635,AR,تقنيون في االحصاء و الحسابية و الرياضيات ومن يشابهونهم
2635,FR,"techniciens de la statistique, de l’actuariat, des mathématiques et assimilés"
2635,FR,"techniciens de la statistique, de l'actuariat, des mathématiques et assimilés"
2639,FR,autres professions intermédiaires de finance et de gestion n.c.a
2639,FR,autres professions intermédiaires de finance et de gestion n.c.a.
2639,AR,مهن وسيطة اخري في المالية والتسيير لم تصنف اعلاه
2639,AR,مهن وسيطة اخري في المالية والتسيير لم تصنف اعاله
2640,AR,اطر متوسطة في المهن القانونية ومن يشابهونهم
2640,FR,cadres moyens des professions juridiques et assimilés
2651,FR,"superviseurs, travail de bureau"
2651,AR,المشرفون علي اعمال المكتب
2652,FR,"secrétaires, services juridiques"
2652,AR,السكرتيرون قي الخدمات القانونية
2653,AR,سكرتيرو االدارة و السكرتيرون التنفيذيون
2653,FR,secrétaires d'administration et secrétaires exécutifs
2653,AR,سكرتيرو الادارة والسكرتيرون التنفيذيون
2654,AR,السكرتيرون الطبيون
2654,FR,secrétaires médicaux
2659,AR,سكرتيرو االدارة و سكرتيرون متخصصون اخرون لم يصنفوا اعاله
2659,FR,autres secrétaires d'administration et secrétaires spécialisés n.c.a
2659,AR,سكرتيرو الادارة وسكرتيرون متخصصون اخرون لم يصنفوا اعلاه
2659,FR,autres secrétaires d'administration et secrétaires spécialisés n.c.a.
2661,FR,inspecteurs des douanes et des frontières
2661,AR,مفتشو الجمارك و معابر الحدود
2661,AR,مفتشو الجمارك ومعابر الحدود
2662,FR,contrôleurs des droits et des impôts
2662,AR,مراقبو الرسوم و الضرايب
2662,AR,مراقبو الرسوم والضرايب
2663,FR,agents des services publics accordant des prestations sociales
2663,AR,مهن وسيطة في تقديم الخدمات العمومية الاجتماعية
2663,AR,مهن وسيطة في تقديم الخدمات العمومية االجتماعية
2664,FR,agents des services publics accordant des permis et des licences
2664,AR,مهن وسيطة في تقديم الرخص والتصاريح
2664,AR,مهن وسيطة في تقديم الرخص و التصاريح
2665,FR,inspecteurs et enquêteurs de police
2665,AR,مفتشو الشرطة
2669,FR,autres professions intermédiaires de l'application de la loi et assimilées n.c.a.
2669,AR,مهن وسيطة اخري في تطبيق القانون وما يشابهها لم تصنف اعاله
2669,AR,مهن وسيطة اخري في تطبيق القانون وما يشابهها لم تصنف اعلاه
2669,FR,autres professions intermédiaires de l'application de la loi et assimilées n.c.a
2711,AR,تقنيون في الخدمات االجتماعية ، مساعدون اجتماعيون ومن يشابهونهم
2711,FR,"techniciens en services sociaux, assistants sociaux et travailleurs assimilés"
2711,AR,تقنيون في الخدمات الاجتماعية، مساعدون اجتماعيون ومن يشابهونهم
2712,AR,مهن وسيطة في الديانات المسيحية واليهودية
2712,FR,professions intermédiaires des cultes chrétien et juif
2719,FR,autres cadres moyens spécialisés dans les sciences sociales et humaines n.c.a
2719,AR,اطر متوسطة مختصة في العلوم االجتماعية واالنسانية غير مصنفة اعاله
2719,FR,autres cadres moyens spécialisés dans les sciences sociales et humaines n.c.a.
2719,AR,اطر متوسطة مختصة في العلوم الاجتماعية والانسانية غير مصنفة اعلاه
2721,FR,décorateurs d'intérieurs et designers d'intérieurs
2721,AR,مختصون في الزخرفة والتزيين الداخلي، زخرفيون صناعيون
2721,AR,،مختصون في الزخرفة والتزيين الداخلي زخرفيو ن صناعيون
2721,FR,décorateurs d'intérieurs et designers d’intérieurs
2722,FR,"présentateurs de radio, de télévision et de spectacles (cadres moyens)"
2722,AR,مذيعون في الاذاعة والتلفزيون ومقدمو السهرات والمسرح ومن يشابهونهم
2722,AR,مذيعون في االذاعة والتلفزيون ومقدمو السهرات والمسرح ومن يشابهونهم
2723,AR,،موسيقيون مغنون وراقصون وفنانون يشابهونهم
2723,FR,"musiciens, chanteurs, danseurs et artistes assimilés"
2723,AR,موسيقيون ومغنون وراقصون وفنانون يشابهونهم
2723,FR,"musiciens, chanteurs , danseurs et artistes assimilés"
2724,FR,"clowns, magiciens, acrobates et artistes assimilés"
2724,AR,فكاهيون، سحرة، بهلوانيون وفنانون يشابهونهم
2725,FR,"techniciens de galeries d'art, de musées et de bibliothèques"
2725,AR,تقنيو اروقة الفن و المتاحف و المكتبات
2725,AR,تقنيو اروقة الفن والمتاحف والمكتبات
2726,AR,تقنيو التصوير
2726,FR,techniciens photographes
2729,AR,مهن وسيطة اخري في الفن والرياضة والفرجة غير مصنفة اعاله
2729,FR,autres professions intermédiaires artistiques et du spectacle n.c.a
2729,AR,مهن وسيطة اخري في الفن والرياضة والفرجة غير مصنفة اعلاه
2729,FR,autres professions intermédiaires artistiques et du spectacle n.c.a.
2731,FR,athlètes et sportifs de compétition
2731,AR,عداءون ، رياضيون ومن يشابهونهم
2731,AR,عداءون، رياضيون ومن يشابهونهم
2732,AR,مدربون رياضيون و حكام الرياضة
2732,FR,entraîneurs sportifs et arbitres de sport
2732,AR,مدربون رياضيون وحكام الرياضة
2733,AR,منشطو برامج الترفيه واللياقة البدنية
2733,FR,"instructeurs et animateurs de programmes, loisirs et activités de remise en forme"
2733,AR,منشطو برامج الترفيه و اللياقة البدنية
2739,AR,مهن وسيطة في الرياضة واللياقة البدنية غير مصنفة اعلاه
2739,FR,autres professions du secteur des sports et des activités de remise en forme n.c.a
2739,AR,مهن وسيطة في الرياضة و اللياقة البدنية غير مصنفة اعاله
2739,FR,autres professions du secteur des sports et des activités de remise en forme n.c.a.
2741,FR,chefs cuisiniers
2741,AR,رييس الطباخين
2749,FR,autres professions intermédiaires en tourisme et hôtellerie n.c.a.
